id,countyId,cityId,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,yearBuilt,streetAddress,zipcode,longitude,latitude,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
31503-110785431,17,55064,0,0,Listed for sale,7/12/2021,169900,74,Waycross,1985,103 Hog Creek Rd,31503,-82.23247528,31.20070267,2302,2302,Acres,3,4,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Brantley County
31503-76611082,18,55064,0,0,Listed for sale,7/12/2021,159000,56,Waycross,1910,605 Ware St,31503,-82.36510468,31.21383476,2864,2864,sqft,2,4,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-93126153,19,55064,0,0,Listed for sale,7/10/2021,45000,62,Waycross,1945,1961 Mount Pleasant Rd,31503,-82.32711792,31.21083832,728,728,Acres,1,1,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-110785598,20,55064,0,0,Listed for sale,7/9/2021,165000,102,Waycross,1971,39 Joyce Rd,31503,-82.23130035,31.1698513,1620,1620,Acres,2,2,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Brantley County
31503-2101070583,21,55064,0,0,Listed for sale,7/6/2021,128593,0,Waycross,0,0 Swamp Rd,31503,-82.40552521,31.04598427,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Ware County
31503-227421330,22,55064,0,0,Listed for sale,7/5/2021,173500,115,Waycross,1980,3475 Lark Rdg,31503,-82.30085754,31.21701431,1512,1512,Acres,2,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-110784307,23,55064,0,0,Listed for sale,7/5/2021,349900,152,Waycross,1999,178 Wynton Cir,31503,-82.28270721,31.21199226,2309,2309,Acres,2,3,0,1,0,0,0,1,0,0,0,SINGLE_FAMILY,Brantley County
31503-76611183,24,55064,0,0,Listed for sale,7/5/2021,99500,72,Waycross,1960,1807 Gibbs St,31503,-82.36397552,31.19115257,1383,1383,Acres,1,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-93126463,25,55064,0,0,Listed for sale,7/4/2021,129500,69,Waycross,1940,1200 N Augusta Ave,31503,-82.3844223,31.23105049,1874,1874,Acres,2,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-93124512,26,55064,0,0,Listed for sale,7/2/2021,159995,87,Waycross,1922,1801 Creswell St,31503,-82.36191559,31.19118118,1838,1838,Acres,3,3,0,0,0,0,0,1,0,0,0,SINGLE_FAMILY,Ware County
31503-93133495,27,55064,0,0,Listed for sale,6/29/2021,59900,46,Waycross,1967,1303 Carswell Ave,31503,-82.37071991,31.21306419,1300,1300,sqft,1,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-76613202,28,55064,0,0,Listed for sale,6/28/2021,199500,104,Waycross,2000,1906 Hall St,31503,-82.36638641,31.18942833,1914,1914,Acres,2,3,0,0,0,0,0,1,0,0,0,SINGLE_FAMILY,Ware County
31503-111813246,29,55064,0,0,Listed for sale,6/25/2021,52900,56,Waycross,1964,509 Clinton St,31503,-82.37063599,31.21279526,952,952,sqft,1,2,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-2071132145,30,55064,0,0,Listed for sale,5/7/2021,159800,0,Waycross,0,0 Scapa Rd,31503,-82.42732239,31.24037361,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Ware County
31503-111788457,31,55064,0,0,Listed for sale,6/3/2021,490000,0,Waycross,1965,3000 Gibbs St,31503,-82.36742401,31.17031479,0,0,sqft,3,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-111813195,32,55064,0,0,Price change,7/8/2021,54999,23,Waycross,1997,3601 Pebble Hill Rd,31503,-82.43564606,31.29154015,2432,2432,Acres,0,3,0,0,0,0,0,0,0,0,0,LOT,Ware County
31503-2082742498,33,55064,0,0,Price change,7/8/2021,269999,0,Waycross,0,0 S Clough Bay Rd,31503,-82.460495,31.2063446,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Ware County
31503-93126852,34,55064,0,0,Price change,7/5/2021,259900,95,Waycross,1979,4395 Whitehall Church Rd,31503,-82.28591919,31.19734955,2729,2729,Acres,3,3,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-111814266,35,55064,0,0,Listed for sale,6/23/2021,175000,88,Waycross,1985,3461 Lark Rdg,31503,-82.30155945,31.21701622,1980,1980,Acres,2,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Ware County
31503-111815152,36,55064,0,0,Listed for sale,6/23/2021,798000,110,Waycross,2003,3436 Driggers Rd,31503,-82.30395508,31.20638657,7282,7282,Acres,8,7,0,1,3,0,0,1,1,0,0,SINGLE_FAMILY,Ware County
31503-2070023787,37,55064,0,0,Listed for sale,6/21/2021,144000,0,Waycross,0,0 Griffin Rd,31503,-82.4365387,31.15389061,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Ware County
31503-2077834937,38,55064,0,0,Listed for sale,6/20/2021,264500,0,Waycross,0,0 Oe McDonald Rd,31503,-82.46932983,31.18241692,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Ware County
